Name	In_TC1	In_TC4	In_TC6	In_TC8	QY1	QY2	QY4	QY5
8-Aminooctanoic acid	4602326.6	1386050.972	12691702.69	4510615.135	3506754.547	2628302.607	3514973.6	1592946.006
"7-(2-hydroxypropan-2-yl)-1,4a-dimethyl-decahydronaphthalen-1-ol"	128690371.3	153403666.2	110119505.6	129803155.7	67585653.7	67744884.47	124824313.2	174878493.3
PEtOH (22:1-18:2)	1527849.728	535898.0395	4526121.252	443797.5782	84310.22491	111951.4659	676226.1182	176164.6451
Fumaric acid	119611183.4	8315320.584	67666134.01	100034506.8	2441171.074	3751700.37	3033569.486	2297963.557
LPC 24:4	1558551.789	3038853.009	225064.1679	88406.76131	68639.38682	48369.92818	64291.06504	128183.5835
"8,15-Dihete"	11970811.53	3013705.365	12567952.39	4714146.29	4897877.943	4128793.744	3091149.152	2288201.134
Berberine	44672482.82	14660673.01	268683322.4	18398230.67	1156646.731	383568.5444	432073.0921	383054.1715
Metanephrine	4405946.885	2662092.527	6087004.495	3532421.78	4783966.11	9917286.64	4438327.075	2407880.702
Methionine	4829545961	2241862994	3296850412	2519530533	146780442.6	189224139.3	581550249.9	227857797.6
Dithranol	889848.8254	768473.5648	919433.2075	927734.2791	935046.0698	1324647.901	2664946.439	2314416.794
2'-Deoxyadenosine	5212162.985	817426.0993	61931162.08	11587098.64	2150648.666	844133.557	245983257.2	4182278.195
Glycocholic acid hydrate	356743.7316	4412889.025	447468.9388	473167.4105	1738369.771	483549.284	4751097.22	1758245.652
Spectinomycin	13786210.94	5267517.755	11590355.7	4631417.748	2204691.183	940538.9906	2692128.562	4499375.176
N6-Succinyl Adenosine	331924.5871	2812967.428	2497811.52	4032672.828	862119.146	486841.3514	1185469.379	108908.0599
L-Ascorbate	20980756.75	62176332.21	20991185.68	100922990.4	22769989.63	37422719.7	20114127.19	3958826.456
"ethyl 4-methyl-2-(1H-pyrrol-1-yl)-1,3-thiazole-5-carboxylate"	13732829.88	4923846.276	5641829.254	2103273.519	452794.6696	402618.362	3621036.409	1197331.766
N-glycyl-L-proline	2246568.216	6779864.139	1188122.831	992957.6078	643457.0686	693539.9106	726968.2625	520765.9467
"DL-3,4-Dihydroxyphenyl glycol"	4430369.639	1111241.721	11900266.47	2819114.99	3350788.789	7655165.318	1690273.34	1825160.067
Mag (18:1)	3240436.707	369794.8859	1766268.211	964187.8273	350364.7849	74776.24459	123129.2576	1175224.677
Catechol	2095521.437	1693189.39	1429492.052	2419817.933	1067141.473	1092221.236	788966.5266	480466.7671
Dl-3-Hydroxynorvaline	2624761.152	1285848.453	6034608.024	4841639.375	8140717.532	9382329.65	4986484.618	2207201.082
PC (13:0/14:0)	2019165.655	3388926.224	6965215.366	10461797.67	4151263.206	1495314.493	1137716.293	1042155.077
Vitamin B2	2041477.182	2758226.914	1100037.153	786406.8725	642190.7562	1090603.234	1543010.852	1002644.177
Betulin	13306436.8	380752.1305	3900383.115	1306080.586	493939.4086	161807.0779	2302665.888	2605092.173
Tiglic acid	10545650.53	6183562.301	29231895.31	8028682.735	55342448.44	33691908.84	3993458.059	152031345.6
"4-(2-furyl)-2-oxo-6-(2-thienyl)-1,2-dihydro-3-pyridinecarbonitrile"	1551035.063	988500.7906	1032674.809	913691.8473	1202339.7	1213481.348	920622.1911	573403.9896
Sodium Dehydrocholate	427616.1738	165467.5048	445878.3733	368095.2359	3326318.899	382140.3566	334609.7813	228386.8283
Lagochilin	151098.6469	1662231.456	121977.6909	87509.72084	124814.5344	920008.1573	88791.31056	108767.5676
Kinetin 9-riboside	1113632.752	193169.8231	1991178.714	637303.5	1133254.917	686291.4444	1805787.14	1156374.88
3-Indoleacrylic acid	6861132.433	6453831.955	7583539.847	7424736.044	6881708.03	4171428.462	5146205.181	4079638.214
Lupenone	12993009.03	667401.4253	3114661.577	691885.9825	798777.9348	251859.9531	2217685.378	2460140.63
"5beta-Androstane-3,17-dione"	3674520.554	1417274.028	5085678.179	2733583.984	4006002.083	8235299.107	8797980.455	1509282.823
"5,7-dihydroxy-3-(4-methoxyphenyl)-4H-chromen-4-one"	2480640.074	2842574.61	2513883.916	2344509.719	1651409.322	5087942.706	5230428.135	2756309.305
2-Thio-acetyl MAGE	4610049.949	1122641.44	3235586.936	888442.613	1468864.869	650593.3614	5915917.356	1416880.95
Artemisinin	7289026.262	5534056.744	2168441.296	2675579.405	2290169.985	1615261.492	8169419.112	4387149.447
"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid"	936273.3255	802957.866	1078366.412	619585.2327	1259947.157	1224106.423	1956126.253	2021110.555
Ecgonine methyl ester	7600303.164	5677580.97	8757125.377	11304314.09	333471134.7	134012815.8	5599516.509	1481997.697
Thr-Leu	34152153.79	136329492.2	38554595.39	14530055.91	130506831.6	199263815.8	22917772.98	23609385.11
Methyl 3-indolyacetate	3898933.771	1608216.553	4658027.886	7182204.824	9673728.51	43978336.4	11293111.1	1908304.787
N8-Acetylspermidine	9516121.028	5386928.416	59938096.45	19074006.76	60532663.02	16116256.15	231345573.6	47842036.17
PEtOH (22:0-18:1)	472187.4954	728050.4978	3856166.122	850944.514	126728.6743	81088.98103	195391.4144	277875.0684
5-Hydroxymethyl-2-furancarboxylic acid	1601712.243	1153485.318	1305070.9	1081598.361	899266.4628	594578.9024	771557.2187	741168.0482
Naringeninchalcone	10965751.4	5147975.226	15321300.81	4116996.746	170289603.6	168733642.5	124165361.3	467370380.5
7-Methylxanthine	1191855.45	1120438.408	1740358.192	1724135.775	5884653.998	4508199.002	1864353.798	3086225.169
N1-Acetylspermine	12560593.19	1138467.296	5957148.373	1168751.815	899000.1307	279028.6008	355664.0881	271542.7198
PC (14:1e/4:0)	4318615539	2153243891	573211674.7	171210564.4	20181134.05	24760149.88	35352276.42	6007479.491
"1-(4-hydroxyphenyl)propane-1,2-diol"	7222626.101	4192897.95	13329441.54	4118853.776	11991504.34	6434320.298	2793622.289	8318723.978
SM (d14:1/18:0)	200791.7455	420600.4314	3730648.455	182027.6982	560220.229	66464.40889	92355.22396	101549.0386
RMH	1266255.021	933402.0024	10814118.91	3815951.3	2679353.93	5593555.104	1169721.857	1322953.198
4-Hydroxybenzoic acid	5941577.151	8824647.775	23379688.6	28954765.66	35130000.7	41758570.42	74461541.94	6933093.377
DL-Citrulline	3622117.133	6032977.188	2759153.053	3024962.209	372428.2971	274294.8407	437487.7951	303643.6009
"7-methyl-3-nitroimidazo[1,2-a]pyridine"	6254249.663	5984008.943	2140916.457	3744716.733	948096.4931	468384.8295	5425394.68	1012452.793
Pantothenic acid	564633743.6	320013082.3	500659102.6	720758200.7	1762738915	2969477412	203382530.1	148605955.8
3-[3-(beta-D-Glucopyranosyloxy)-2-hydroxyphenyl]propanoic acid	207899.9074	208388.3516	254982.2526	121964.4327	86732.08109	124788.4324	233272.9024	62779.52839
1-Methylpseudouridine	2426328.471	832383.015	2836779.869	1419043.019	1859846.764	1800310.858	1952485.454	12150932.18
LPE 22:2	7309001.607	5887228.052	1781816.522	1289891.3	172643.504	94191.56543	135256.7653	196736.5398
N-Carbamyl-L-glutamicacid	4892061.872	5886355.439	2195463.494	2855005.665	2392251.438	2505420.553	1853727.33	991726.7642
"1,7-bis(4-hydroxyphenyl)-5-methoxyheptan-3-one"	6518171.907	7680874.07	23995427.47	42055715.3	124129282.7	186310880.3	5957893.665	15610605.17
L-Alanyl-L-Lysine	5771407.016	5846384.997	2529441.876	2084449.301	400826.5246	275721.0875	808760.122	794990.7748
Nicotinic acid	3877514286	2094786084	2735556447	2382510472	1140692054	1880175945	976589518.8	905689787.5
ANH	1339955.361	625616.0921	4546972.984	259010.8311	2852545.265	1726742.302	1689881.383	1206756.583
PC (15:0/15:0)	2258640.785	2055421.256	2123930.713	2226995.283	4016848.578	3953335.236	1829827.049	2185720.125
Spermine	645156.8569	400196.012	1044287.446	471029.5305	3051413.454	158202.0214	236783.137	8091158.555
D-threo-Isocitric acid	7895969.569	2350563.945	1953611.298	9087145.371	1522114.06	317955.4128	3302228.678	369546.108
Valylproline	54803173.07	130006679.2	100209192.6	38065032.75	54952989.16	33973630.23	77971610.12	65386638.5
"3,8,9-trihydroxy-10-propyl-3,4,5,8,9,10-hexahydro-2H-oxecin-2-one"	610638522.9	404835199.3	899142479.9	417044801.9	206010567	40642523.51	96183232.66	246064315.9
D-Proline	4048543270	2019437967	3695411994	2360973742	48125723.48	38950381.57	293029285.2	99987511.55
Methyl beta-D-galactopyranoside	6824176.006	2622214.864	15707449.2	16658454.1	3001306.517	4288139.734	5934316.233	3585516.204
3-methyl-5-oxo-5-(4-toluidino)pentanoic acid	261060556.3	105909006.2	119253631.3	158083851.6	1521198.555	3074415.968	17626812.9	2598632.86
9-HpOTrE	70830669.89	63704180.42	15194211.17	16722201.4	59615090.82	5876927.39	52440672.23	22749324.55
Styrene	5265867.334	2002151.442	7354868.225	4760069.997	4716557.251	17810718.43	213173425	17264579.04
PC (14:1e/3:0)	71857032.02	129194011.3	19098746.18	3079498.985	1096554.48	1812048.377	1210870.253	1161313.114
PC (16:1/16:1)	1657162.368	1521741.214	3059500.926	8956756.744	2301086.072	1831134.357	1015118.42	973651.6622
Palmitic Acid	857800157.9	959452615.3	56947659.08	521227041.1	34099233.74	19093520.96	84455235.92	91576767.65
SM (d14:0/19:0)	1564232.657	1374362.968	2114525.649	8938463.438	1089904.571	1166007.418	1015832.814	521482.3967
PC (11:0/18:0)	197192.472	2257858.691	1231086.182	3036801.751	746851.1705	99349.31776	144734.4306	107107.1526
Palmitoyl ethanolamide	54311664.88	23831540.32	215823444.1	53239952.9	54831414.63	37330031.23	97222247.84	53422171.68
Irganox 259	6155156.773	568383.9063	9907251.282	1864982.638	248363.0235	157928.87	152146.3938	211446.3489
L-(-)-Malic acid	1049942840	520678519.3	643070675.6	1337980087	22263484.18	29135610.13	12324270.44	9827131.071
PC (18:3e/4:0)	10965332.22	5602368.787	4303392.762	1142823.227	208628.883	119898.4125	120135.7942	179487.1897
Isoferulic acid	1281612.373	1008634.989	1530438.691	708874.7101	2423113.13	1919866.621	4170326.686	5507698.677
Diflorasone	1915665.368	1236228.121	519702.3891	754808.5904	10289073.5	1608571.124	1079646.789	8821629.325
2-[6-(1H-benzo[d]imidazol-2-yl)-2-pyridyl]-1H-benzo[d]imidazole	1667216.764	755662.4658	3248685.323	896165.5085	317961.3097	478329.6504	848757.1433	2977537.155
N-Methylthreonine	254729.2339	174536.4473	508172.6458	426220.7868	434069.6929	726836.8742	250621.9199	3448642.209
4-Hydroxyindole	4334553.025	1941122.898	18558265.85	8096155.003	131923327.1	102213408.1	60718912.43	87232400.04
"3-amino-2,6-diphenyl-4,7-dihydro-2H-pyrazolo[3,4-d]pyrimidin-4-one"	4355682.1	1279919.118	9008518.481	8653955.252	2094247.997	1776031.567	1570141.618	1556674.322
(5E)-7-methylidene-10-oxo-4-(propan-2-yl)undec-5-enoic acid	4787530.505	3152986.552	7205388.72	3221662.982	5177843.955	6470534.644	5246643.44	4540932.293
LPC 20:1	59657004.5	64087340.96	13326746.49	3341711.385	416410.5124	829426.0966	618765.6553	203271.7329
2-piperidinobenzoic acid	1866526.187	954542.2172	2783819.682	843661.8677	2674027.412	1375693.147	1075085.542	2907631.645
N-Acetyl-DL-serine	31317830.85	16355495.12	27297865.67	29843475.27	9307333.293	4143821.664	12748060.97	12260028.51
"2,3-dinor Prostaglandin E1"	13753717.82	6029690.187	121561857.7	25581374.53	113602983.1	5907505.549	15485063.01	1449665047
LysoPC 18:0	1887591.655	5387467.004	2323110.972	651195.1757	395565.4176	198204.4098	213934.9258	259911.6976
Lysope 16:0	43541760.05	63396938.14	14741125.85	6129304.239	2842896.37	1384537.363	2557582.88	624763.9669
2-(acetylamino)-3-[4-(acetylamino)phenyl]acrylic acid	17812065.38	7459834.392	16591983.05	16013301.49	106796514.3	175088268.1	12073126.39	17921138.02
N-Benzylethanolamine	1622398.079	907550.6477	1516312.764	1137296.714	5351810.381	6494219.107	8840070.603	3371138.566
trans-10-Heptadecenoic Acid	38727053.93	30645163.19	69025517.26	40290377.68	5372490.106	3568073.359	74750052.9	16123187.88
4-Pyridoxic acid	7719677.835	4267642.581	13603427.72	9128070.615	101744642.6	172437249.3	40859221.52	13548399.13
Epitestosterone	11786901.63	46521231.39	4594167.411	18499412.01	35195215.95	20867154.9	17783336.24	42937750.5
PC (10:0/15:0)	1847819.106	365180.9263	3060145.656	205203.7801	56846.88793	43430.2155	62580.11823	68477.32807
YKK	508211.9898	243230.7544	386172.4909	225985.9749	3516746.843	2953105.092	2233472.37	6133097.783
Trigonelline	30538515.82	12143257.78	34400779.08	28922112.92	137879596.3	170830765.4	55256231.67	17117590.89
o-Toluic Acid	6622275.138	1936766.554	6204737.081	3584355.838	7364848.116	39460322.4	28699161.35	18617281.84
D-Raffinose	5369074.155	4798924.858	7237831.826	4027069.465	59006101.07	8784342.088	153612755.4	246474090
Phenylacetylglycine	2370862.001	1346794.17	5360800.405	3565931.029	2233867.795	4918070.2	2711500.367	2155410.569
N-Acetyl-D-lactosamine	23430915.66	22036747.63	211962299.3	162152577.4	22390722.57	20480804.2	31510020.12	17550128.35
N-[(4-hydroxy-3-methoxyphenyl)methyl]-8-methylnonanamide	1352886.364	472011.9361	2483549.509	736841.3044	4344022.662	2837285.965	6799752.954	8200364.266
N-butyl-2-methyl-5-(piperidinosulfonyl)-3-furamide	3013432.76	1387524.312	9016089.276	4353289.042	6399292.306	6428772.119	5996337.983	5306357.529
LPE 22:3	2320603.336	1958295.564	562031.7918	360543.6219	182981.8205	97829.35822	327892.4294	205791.7322
"1,4-Dihydro-1-Methyl-4-Oxo-3-Pyridinecarboxamide"	2723445.466	1448667.668	3182381.419	3921541.928	7268389.977	7154931.711	2222689.046	3798950.541
Glycerol 3-phosphate	98564326.32	22802876.64	2710301.782	6910273.941	1720007.614	4734188.649	8267426.588	1282851.436
GQH	114419936.8	21648642.98	210056533.8	84928317.84	8381758.892	18737587.23	16903949.25	5960073.934
1-Methylguanosine	125916.0233	79341.54943	684308.8265	249564.823	53744.91272	45583.77499	2299502.25	48338.85198
"N-(1,3-benzodioxol-5-ylmethyl)-6-morpholinonicotinamide"	8402377.159	3974506.8	11936112.45	9190382.316	146372283.8	2720880121	10296755.86	3426927.999
LPC 17:0	66844164.71	60808057.38	31338688.36	3387806.784	570079.6483	1047212.481	401149.1119	993554.9792
LPE 20:1	62758312.35	60747360.02	20802989.63	3936349.54	1321177.108	504817.925	418081.7895	447069.0856
1-(4-nitrophenyl)piperidine	2813203.766	861627.3192	5452642.817	1620622.634	1571156.16	1133507.473	8204875.947	1265589.382
Isotretinoin	28549147.09	65456435.47	6588138.207	26945217.24	55252297.99	26747704.16	20630025.44	47516848.86
Phenylglyoxylic acid	92194355.66	62075569.61	208064423.3	87971762.34	15620327.47	13676729.6	9043032.734	14111083.13
Royal jelly acid	5348088.884	1011512.568	4375239.896	2507176.185	11677873.21	1645089.865	2079217.102	1723450.382
MPH	610106.6424	329333.4218	789663.893	412707.4534	512171.8246	519279.8786	375487.1804	405354.5227
N1-(3-chloro-4-fluorophenyl)-2-cyano-3-(dimethylamino)acrylamide	588965.262	250340.7177	693837.4327	667836.6542	564938.9513	605645.0432	5261175.706	647721.6283
"2-{[3-(2,3,4,5,6-pentamethylphenyl)prop-2-ynyl]oxy}tetrahydro-2H-pyran"	1354205.745	1523491.115	3906512.259	1460682.393	10830274.28	2346064.564	2530498.679	10018819.74
Androsterone	7478510.539	1144091.588	8605658.798	2437591.262	531391.7101	438096.5969	576988.8235	1272354.599
"1-(2,4-dihydroxyphenyl)-2-(3,5-dimethoxyphenyl)propan-1-one"	7052580.894	917081.0741	8495208.517	2977084.449	821177.9008	637434.2466	876685.551	778658.2445
Prostaglandin D2	672893.8738	526858.231	596095.4464	494023.6256	241921.5141	171560.5768	352411.3093	2875538.316
PC (12:0/13:0)	6650399.102	675334.3273	8465760.39	653700.8198	270851.2852	153776.4428	158927.335	166087.6642
LPE 22:6	30110897.02	114917533.2	9839369.674	4065795.102	946611.6961	606727.5271	482108.6476	971640.2853
NSI-189	6941805.423	2670140.615	8683446.628	5302027.064	8592698.701	20101350.33	189240917.3	10975596.96
"1-(4-methylphenyl)-3-(2-pyridylthio)pyrrolidine-2,5-dione"	75058569.48	59010321.69	2282569.68	993827.5583	169402.5152	168637.6762	288315.9914	157110.1234
FAHFA (20:3/18:2)	1555059.543	1287438.401	324171.4828	2516186.679	57840.84532	85063.35611	63142.41306	507752.3456
L-Methionine sulfone	16696913.58	30502829.26	57856585.14	82695414.76	8203595.858	29840729.89	3123293.662	3447841.014
Prolylleucine	111075076.3	114488360.7	486481849.5	528652487.3	941393972.5	2679821318	325837734.5	85128462.52
UMP	25877706.08	58758853.93	3131583.363	13083145.79	27288252.32	27629161.98	1054133.613	2679594.497
XLR11 N-(2-fluoropentyl) isomer	1622710.526	752114.2732	2319362.918	6856170.954	16421173.83	160205754.2	80707535.88	605966.5318
LPE 18:0	1741751930	1896263078	2378098272	920200504	78804269.18	166674403.6	12423632.17	43942729
Hexadecanamide	8946271179	10771873000	8468066626	13248792433	4844908031	4470818868	11347050834	18807208624
Irinotecan	656864.1706	433732.5435	814731.7976	738677.3034	641727.5534	629828.1746	2058589.853	1702902.543
Dihydroroseoside	955563.4852	449752.6077	1404630.986	612236.9633	525603.5256	539556.3238	841618.4707	704924.7311
Choline bitartrate	6524168.998	4666733.432	4386953.737	3219577.282	324480.756	288792.8359	1608175.574	331750.0854
"6-(4-methoxyphenyl)pyrimidine-2,4-diamine"	17993737.76	27043985.12	86516927.95	48082132.66	29963239.54	15388097.91	10099356.22	26636609.42
Estriol 17-sulfate	2169083.35	518163.8515	2554179.587	882681.8778	329069.6875	333635.0244	209552.5678	611398.2964
Biliverdin	81310873.22	283856402.3	1279080272	2960506445	67519179.59	8468710.784	4712232.139	88213651.74
2-Deoxyuridine	878377.6665	1705834.264	611068.5266	368948.5364	87696.64691	77811.50838	158493.9824	79320.2317
OxPC (16:0-18:3+1O)	1340887.96	1692863.783	158857.242	524608.9325	94120.75846	72466.55375	112755.5262	106175.1994
LPC 22:1	2735317.749	1123422.352	235367.536	183397.9554	36380.11379	24155.50652	61648.70871	39888.48411
"p-Mentha-1,3,8-triene"	153961994.2	35743404.41	148857558.6	57390123.81	25999671.83	5843982.558	15135309.11	20438466.84
Deoxycholic Acid	112393427.1	33002556.81	11501827.36	51035643.7	370081900.1	124827897.9	40244820.13	1323793088
Glycerol 1-hexadecanoate	71156685.28	61667055.99	54739774.2	73329649.97	529810717.7	521022817.4	1195239519	406532446.9
N-Octyl-2-pyrrolidone	1574218.772	4568453.596	2358875.839	3528459.35	1394506.531	3219410.998	2235308.289	3461027.219
"4-[2-(1H-indol-3-yl)ethyl]morpholine-3,5-dione"	224050775.3	43007776.59	143655604.3	53429450.41	2455419.284	929835.8519	2471419.862	2121754.609
"2,5-Dimethylphenol"	2814873.188	4178419.092	13774204.95	7630285.003	3354696.071	335325.6598	627529.1018	33340657.63
"1,4-dihydroxyheptadec-16-en-2-yl acetate"	31637973.96	11194216.01	3574551.344	3143853.102	20183612.56	14781469.68	10470268.94	5847119.025
PC (16:1/22:6)	118644.3458	232865.5106	2458029.37	99160.01056	202434.2867	61370.41613	92942.68377	99178.32134
Harmine	3171146.815	1380548.333	7215820.648	1867480.779	2534826.774	3824816.062	7416430.935	1478473.546
"1,3-Diphenylacetone"	538530.2481	472904.8684	1876409.094	1615599.027	4212395.877	6328702.988	1073639.781	1123838.099
Guanosine monophosphate	2437038.354	1630843.715	502050.5699	464004.1648	388411.1878	191905.4843	333251.0086	320125.3175
4-Methyl-5-thiazoleethanol	22790749.49	6239946.016	43207655.61	26879739.89	33182289.55	153257580.3	2003349.414	4905162.411
N-Acetyl-Asp-Glu	685701.3076	229968.6441	1822580.703	2276391.167	27147.96238	71650.18342	725889.5055	23684.29128
4-Phenylbutyric acid	2588267.895	1387761.685	19641544.9	4879586.666	11493853.35	2924968.648	3626916.493	4080008.701
2-Phenylglycine	2699468.037	1551828.108	3210620.523	6985589.681	3689989.886	2800011.459	1628230.057	1437314.926
"(3S,9aS)-3-benzyl-octahydro-1H-pyrido[1,2-a]pyrazin-1-one"	2976988.198	3134431.851	7829548.039	4760420.774	630069.4623	1157126.035	240539.9153	916415.7708
"4',7-Dihydroxyflavanone"	18540063.15	8153456.764	24970528.29	6551047.974	272437567.4	88833385.81	77963238.37	157933494.7
Glycodeoxycholic Acid (hydrate)	157450.3593	493100.786	311238.363	270546.0362	215870.9585	480865.6639	1094218.43	2555820.222
"2,3-dihydroxypropyl 12-methyltridecanoate"	20221147.04	15869428.93	37826861.87	8608943.393	22048986.21	151789276.4	102173844.8	89813507.79
11-Deoxy prostaglandin F1β	1932204.134	1937950.735	5121969.316	2146587.102	2762250.034	4718618.991	1025556.574	6933665.796
"5,7-dihydroxy-3,8-dimethoxy-2-phenyl-4H-chromen-4-one"	7137444.319	4351381.978	4813734.336	2032000.707	466943.4053	862585.2401	728740.0685	1718574.504
(5-L-Glutamyl)-L-Amino Acid	146311761.7	34485178.37	189415989.6	115428523.2	9860084.685	7891064.302	25211892.2	19750161.44
N-Benzylformamide	1816033036	1792553329	1525623072	1717764111	102558853.6	31439566.36	544881918.8	208877842.5
Methyltestosterone	1321338.105	55443829.13	1635409.421	1451744.261	409065.4229	212169.7633	2109412.483	1442081.708
LPC 22:2	2110087.918	1526496.537	617006.1134	542909.3162	74892.95749	51407.80987	262518.0131	165808.9279
Glycylproline	68195264.48	105719649.6	79286686.28	97579443.18	11201515.06	13866763.4	12706347.03	14848789.79
Phenylpyruvic acid	87577579.79	23127282.17	62893199	76904177.3	3198215.977	21414666.38	6049410.878	18582723.31
OxPC (18:1-18:2+2O)	1597754.355	1486990.598	115540.429	250032.6559	75722.59192	53656.91652	77671.49336	82939.95851
Isopropyl myristate	61574870.85	31461837.74	63330323.48	37094033.18	8771775.655	627188.1633	3036874.952	6051618.372
Maltose	14133949.75	24814798.66	52764464.71	24844290.19	267897215.8	19419794.74	920319624.7	463235067
L-Serine	50210486.68	54151038.9	12378595.85	23119161.23	162316.9093	213529.8042	2118685.694	1528382.687
8-Hydroxyguanosine	1249411.709	834700.0907	1199007.586	1532953.133	9806065.929	2800247.898	1941999.192	1192321.226
2-(1H-indol-3-yl)-3-[4-(trifluoromethyl)phenyl]acrylonitrile	21481736.62	7258994.021	38373953.63	12656917.86	9896718.547	10429437.79	13084692.47	10548824.75
20-hydroxy Leukotriene B4	10815752.3	32953126	79997691.65	44512572.75	2101807.664	1200697.811	1194125.422	1620600.834
"(1R,2R)-trans-N-Boc-1,2-cyclohexanediamine"	972800.9424	508443.4143	1458849.058	927527.6586	2332171.739	1217789.912	1657632.558	972793.6329
"8,8-dimethyl-2-phenyl-4H,8H-pyrano[2,3-h]chromen-4-one"	2489157.355	2169103.616	1002246.547	6491116.214	250579.694	621581.6547	728071.6143	479909.9502
"8Z,11Z,14Z-Eicosatrienoic acid"	125958040.2	73534033.98	71439980.07	163328060.5	9891060.352	18622434.01	10593100.82	22733239.02
Acetylcholine	155944846.1	385200321.9	3126232857	1531593650	901557870.2	74094567.9	43911220.84	342233469.8
Stearoyl Ethanolamide	7271137.198	4092629.896	5958710.816	5536707.983	1320951.402	945413.2687	1020854.201	1131960.434
Phylloquinone	321982.353	164142.6617	738623.8437	215334.9263	1930093.438	241383.9284	260925.449	8311759.411
EMH	8153395.913	2821007.821	4127722.397	3589288.501	1951500.567	985105.9505	4015758.176	4895029.548
Lysopa 18:0	7669034.059	2193298.339	180799769.7	8878050.059	1057713.061	1060775.7	2040753.569	790885.1677
23-Norcholic acid	1858738.684	14302972.9	2652397.217	5061391.574	65025224.78	33257043.9	1433345.351	25541670.28
Carvone	11977372.74	35935811.27	14110668.41	6398441.609	37704534.18	23471596.24	28149358.24	35434070.85
LNH	1249245.56	705174.0296	1049160.321	852017.8224	307978.6336	1545359.373	465189.8636	298900.5234
L-Tyrosinemethylester	766938.2803	670620.5688	1774011.669	1962344.439	2042521.31	5536809.341	467449.1966	478754.1131
Tyrosol	9367049.179	6608991.429	26089868.36	17614179.31	397243256.1	467348413.6	106603968.4	150994075.7
dCMP	1347742.346	855101.6631	2549990.11	891997.1776	3205873.112	2205643.645	558445.9461	636703.8639
Ala-Ile	677714.4778	1295186.36	1136578.457	583519.7401	187935.0757	67773.41885	1125570.415	545519.2838
PC (16:0e/2:0)	87430.02042	1285815.482	119917.3145	96819.42729	127577.7195	71893.04875	88107.35867	111469.2773
1-Methylguanine	73062704.33	15753517.05	64550588.16	39689381.83	65985644.19	139539747.2	108309799.5	56163697.09
Ethyl-β-D-glucuronide	8787845.851	5831277.029	12417447.47	6642638.367	4170676.33	3704014.537	20088187.75	10953858.75
O-Desmethylnaproxen	1247712.77	842152.2223	4102728.569	4635726.256	8969410.066	2908078.943	2867413.408	1448009.604
"7,8-Dihydrofolate"	3597654.38	1006190.076	2205819.639	5964704.878	646268.7492	599156.9299	894095.0541	670505.3159
Fludrocortisone acetate	6057976.45	1008504.594	6677165.095	1473787.978	364749.6019	214305.9006	324988.8755	367535.0015
ACar 21:1	7610776.316	1231835.798	470006.4701	545353.1185	1088976.246	631549.1951	430661.0547	1147540.711
(±)19(20)-DiHDPA	698228.8652	518542.427	2112680.406	1578500.781	2372906.792	573084.2375	858455266.9	753100.4686
6-Methylquinoline	741005516.2	513412748.4	807893509.4	624410162.1	1064484358	1765037990	273197172	1839514419
Ponicidin/Rubescensin B	1419554.05	1526237.25	1770470.957	5166698.296	24453338.67	138512120.7	3649430.333	788966.9883
NNK	2586208.531	1428276.577	3068536.039	5889125.483	1062335.342	2628013.18	1870518.228	6550515.776
4-Hydroxybutyric acid (GHB)	4047138.826	4360774.969	7800194.891	28707875.13	44163524.88	6028718.398	8168336.637	47784165.64
"Thymidine 3,5-cyclic monophosphate"	3524411.189	1367227.067	13859305.36	1958905.13	3407022.557	3475481.338	59504808.27	7881858.361
6-Ketoprostaglandin F1α	3762891.44	5354372.951	4409349.469	2642428.136	35406054.14	11519167.08	160678258.1	43821266.36
ACar 11:0	7431243.269	1390393.722	5331751.055	2190717.464	1331512.596	1428739.396	786910.4564	1014092.448
Tryptophanol	6099071.074	4579697.459	8112766.07	13072364.49	17361191.55	67519591.44	159984826	40592531.79
Paracetamol	6685450.732	2026287.504	8339075.204	5087110.365	6711946.741	3922879.45	26227606.05	11858508.45
Citramalic acid	28991531.89	28745562.1	71968745.4	69970334.99	12511894.66	23261766.53	26670383.79	4155309.776
Methylimidazoleacetic acid	96369399.23	278215152.9	382076102.9	2592703166	888616087.7	524873403.7	178071290.1	876113556.3
N2-Acetyl- L-lysine	5054246.937	2615855.304	9394291.64	8728054.884	35251939.59	31657787.17	11053502.3	8772893.394
Homovanillic acid	11411692.08	5914598.583	9367347.088	24668524.41	9699349.862	8302195.185	28964736.1	2692023.813
Hydroxyglutaric acid	3188118.55	7304274.275	5577610.441	4681959.588	2399394.186	22556102.06	17246323.53	2591790.522
"(3beta,9xi)-3-(beta-D-Glucopyranosyloxy)-14-hydroxycard-20(22)-enolide"	1610465.207	1481388.528	220606.8914	1234982.179	273712.6658	118668.9013	306580.3991	322509.2616
Indole-3-lactic acid	20874060.52	7190009.906	22326789.78	38469583.11	137208798	55643706.84	123546526.4	52610768.88
Medicagenic acid	15405428.2	5569838.343	16174019.43	4768821.109	6336360.823	10493526.32	58185092.28	60212355.19
"2-[(3S)-1-(2-Methylbenzyl)-3-pyrrolidinyl]-1,3-benzothiazole"	9390441.727	5331504.661	23214600.2	13320692.24	35791576.73	134630497.8	7542712.732	8035225.782
